X,CH1,
Second,Volt,
2.47e-03,2.56e-01,
2.48e-03,2.56e-01,
2.48e-03,2.48e-01,
2.48e-03,2.48e-01,
2.49e-03,2.48e-01,
2.49e-03,2.48e-01,
2.50e-03,2.48e-01,
2.50e-03,2.48e-01,
2.50e-03,2.48e-01,
2.51e-03,2.48e-01,
2.51e-03,2.48e-01,
2.52e-03,2.48e-01,
2.52e-03,2.48e-01,
2.52e-03,2.48e-01,
2.53e-03,2.48e-01,
2.53e-03,2.48e-01,
2.54e-03,2.48e-01,
2.54e-03,2.48e-01,
2.54e-03,2.48e-01,
2.55e-03,2.40e-01,
2.55e-03,2.40e-01,
2.56e-03,2.40e-01,
2.56e-03,2.32e-01,
2.56e-03,2.24e-01,
2.57e-03,2.16e-01,
2.57e-03,2.08e-01,
2.58e-03,1.92e-01,
2.58e-03,1.84e-01,
2.58e-03,1.68e-01,
2.59e-03,1.52e-01,
2.59e-03,1.44e-01,
2.60e-03,1.20e-01,
