X,CH1,
Second,Volt,
7.46e-03,-2.40e-02,
7.48e-03,-3.20e-02,
7.50e-03,-2.40e-02,
7.52e-03,-3.20e-02,
7.54e-03,-4.00e-02,
7.56e-03,-4.00e-02,
7.58e-03,-4.80e-02,
7.60e-03,-4.00e-02,
7.62e-03,-1.60e-02,
7.64e-03,-1.60e-02,
7.66e-03,0.00e+00,
7.68e-03,0.00e+00,
7.70e-03,2.40e-02,
7.72e-03,2.40e-02,
7.74e-03,3.20e-02,
7.76e-03,3.20e-02,
7.78e-03,4.80e-02,
7.80e-03,4.80e-02,
7.82e-03,4.80e-02,
7.84e-03,4.80e-02,
7.86e-03,4.00e-02,
7.88e-03,4.00e-02,
7.90e-03,2.40e-02,
7.92e-03,2.40e-02,
7.94e-03,8.00e-03,
7.96e-03,8.00e-03,
7.98e-03,0.00e+00,
8.00e-03,8.00e-03,
8.02e-03,8.00e-03,
8.04e-03,0.00e+00,
8.06e-03,8.00e-03,
8.08e-03,0.00e+00,
8.10e-03,1.60e-02,
8.12e-03,8.00e-03,
8.14e-03,1.60e-02,
8.16e-03,1.60e-02,
8.18e-03,2.40e-02,
8.20e-03,2.40e-02,
8.22e-03,1.60e-02,
8.24e-03,1.60e-02,
8.26e-03,8.00e-03,
8.28e-03,0.00e+00,
8.30e-03,8.00e-03,
8.32e-03,8.00e-03,
8.34e-03,0.00e+00,
8.36e-03,0.00e+00,
8.38e-03,8.00e-03,
8.40e-03,0.00e+00,
8.42e-03,-8.00e-03,
8.44e-03,-8.00e-03,
8.46e-03,-1.60e-02,
8.48e-03,-8.00e-03,
8.50e-03,-1.60e-02,
8.52e-03,-1.60e-02,
8.54e-03,-8.00e-03,
8.56e-03,-1.60e-02,
8.58e-03,-8.00e-03,
8.60e-03,-1.60e-02,
8.62e-03,-1.60e-02,
8.64e-03,-1.60e-02,
8.66e-03,-8.00e-03,
8.68e-03,-8.00e-03,
8.70e-03,-8.00e-03,
8.72e-03,-8.00e-03,
8.74e-03,-1.60e-02,
8.76e-03,-8.00e-03,
8.78e-03,-1.60e-02,
8.80e-03,-8.00e-03,
8.82e-03,0.00e+00,
8.84e-03,-8.00e-03,
8.86e-03,-8.00e-03,
8.88e-03,-8.00e-03,
8.90e-03,-1.60e-02,
8.92e-03,-8.00e-03,
8.94e-03,0.00e+00,
8.96e-03,0.00e+00,
8.98e-03,8.00e-03,
9.00e-03,0.00e+00,
9.02e-03,1.60e-02,
9.04e-03,8.00e-03,
9.06e-03,1.60e-02,
9.08e-03,2.40e-02,
9.10e-03,1.60e-02,
9.12e-03,1.60e-02,
9.14e-03,2.40e-02,
9.16e-03,2.40e-02,
9.18e-03,2.40e-02,
9.20e-03,3.20e-02,
9.22e-03,1.60e-02,
9.24e-03,1.60e-02,
9.26e-03,8.00e-03,
9.28e-03,1.60e-02,
9.30e-03,8.00e-03,
9.32e-03,8.00e-03,
9.34e-03,8.00e-03,
9.36e-03,0.00e+00,
9.38e-03,0.00e+00,
9.40e-03,0.00e+00,
9.42e-03,0.00e+00,
9.44e-03,0.00e+00,
9.46e-03,-8.00e-03,
9.48e-03,0.00e+00,
9.50e-03,-1.60e-02,
9.52e-03,-8.00e-03,
9.54e-03,-1.60e-02,
9.56e-03,-1.60e-02,
9.58e-03,-8.00e-03,
9.60e-03,-1.60e-02,
9.62e-03,-8.00e-03,
9.64e-03,-1.60e-02,
9.66e-03,-2.40e-02,
9.68e-03,-2.40e-02,
9.70e-03,-1.60e-02,
9.72e-03,-1.60e-02,
9.74e-03,-1.60e-02,
9.76e-03,-1.60e-02,
9.78e-03,-8.00e-03,
9.80e-03,-8.00e-03,
9.82e-03,0.00e+00,
9.84e-03,0.00e+00,
9.86e-03,8.00e-03,
9.88e-03,8.00e-03,
9.90e-03,1.60e-02,
9.92e-03,8.00e-03,
9.94e-03,1.60e-02,
9.96e-03,1.60e-02,
9.98e-03,0.00e+00,
1.00e-02,8.00e-03,
1.00e-02,1.60e-02,
1.00e-02,2.40e-02,
1.01e-02,1.60e-02,
1.01e-02,2.40e-02,
1.01e-02,8.00e-03,
1.01e-02,1.60e-02,
1.01e-02,8.00e-03,
1.02e-02,1.60e-02,
1.02e-02,2.40e-02,
1.02e-02,2.40e-02,
1.02e-02,2.40e-02,
1.02e-02,2.40e-02,
1.03e-02,2.40e-02,
1.03e-02,2.40e-02,
1.03e-02,1.60e-02,
1.03e-02,2.40e-02,
1.03e-02,1.60e-02,
1.04e-02,1.60e-02,
1.04e-02,0.00e+00,
1.04e-02,0.00e+00,
1.04e-02,1.60e-02,
1.04e-02,0.00e+00,
1.05e-02,0.00e+00,
1.05e-02,0.00e+00,
1.05e-02,0.00e+00,
1.05e-02,-8.00e-03,
1.05e-02,0.00e+00,
1.06e-02,-8.00e-03,
1.06e-02,-1.60e-02,
1.06e-02,-1.60e-02,
1.06e-02,-1.60e-02,
1.06e-02,-1.60e-02,
1.07e-02,-2.40e-02,
1.07e-02,-2.40e-02,
